vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
i 372 1823 2112 -0.8 181 174 30.3 
a 488 1363 1798 -20.2 113 106 27.5 
i 430 1814 2076 7.2 139 128 23.2 
aI 481 1650 1952 8.4 155 151 30.6 
O 525 1010 1976 3.9 173 169 30.9 
e 421 1580 1742 --undefined-- 195 187 24.2 
aI 442 1691 1746 6.9 190 187 25.8 
e 383 1695 1842 8.2 184 179 20.8 
oR 502 1224 1497 4.8 203 194 31.4 
oR 531 1143 1558 -0.1 142 141 31.5 
I 415 1716 1891 -9.4 162 154 25.7 
aI 613 1695 1743 6.4 155 153 37.1 
a 739 1350 1897 -0.0 149 137 38.2 
eh 596 1602 1738 -2.7 120 112 53.7 
oh 593 952 2003 -1.7 142 140 35.4 
A 517 1466 1873 3.6 150 148 29.0 
aI 574 1565 1858 10.8 124 123 32.9 
a 752 1333 2082 -5.0 132 130 31.5 
O 568 1004 1397 1.3 145 145 26.7 
A 677 1159 1686 -6.0 166 164 41.7 
oh 568 1039 1858 -5.6 112 102 32.8 
Ia 420 1647 1846 -16.8 102 101 34.6 
O 497 889 2005 -9.2 109 107 50.4 
eI 463 1844 2070 14.2 172 158 27.7 
a 736 1353 1513 -4.3 110 107 51.7 
i 392 1562 2659 6.1 185 135 28.8 
a 766 1287 1992 3.4 144 141 36.1 
i 441 1796 2071 5.1 146 144 37.0 
O 527 984 1816 0.2 166 163 26.9 
e 488 1527 1588 4.9 175 169 31.0 
aI 442 829 1995 4.4 163 149 44.8 
I 349 2035 2185 9.7 166 163 32.3 
I 371 1391 2086 -8.1 175 168 27.7 
eh 569 1727 1934 11.8 145 119 36.0 
U 487 1016 1683 -24.0 155 152 33.1 
A 651 1177 2084 5.2 122 118 32.9 
O 549 984 1925 1.2 128 127 44.4 
A 596 1174 1832 -5.0 198 156 28.1 
oh 578 1015 1922 -3.2 135 127 40.3 
Ia 499 1559 1742 1.1 153 145 29.0 
aI 593 1486 1823 3.0 143 131 30.3 
A 583 1336 1800 -0.2 134 123 34.5 
E 421 1781 1906 -2.5 133 128 32.9 
a 751 1229 1862 -3.5 138 126 47.3 
a 714 1195 1818 -1.8 123 112 27.0 
O 524 944 1916 -0.2 126 125 31.6 
A 631 1177 2208 -6.1 125 111 35.3 
oh 557 878 1947 -7.5 109 103 41.0 
Ia 492 1756 1834 4.4 166 130 34.7 
eh 507 1772 1821 -4.6 111 100 61.9 
a 725 1352 1889 -2.5 144 141 51.2 
i 457 1807 2000 4.7 154 146 32.3 
U 400 1086 2631 -13.4 182 178 29.2 
eh 533 1680 1908 7.0 130 125 45.2 
aI 501 1828 2034 -1.1 171 158 34.6 
e 468 1470 1585 1.5 175 172 24.4 
U 492 1123 2017 -0.4 170 168 26.8 
I 394 1902 2048 5.2 123 119 32.7 
eI 510 2009 2029 2.8 177 141 33.7 
U 452 849 1748 -8.4 146 129 37.0 
aI 555 1619 1840 0.4 130 129 53.9 
e 429 1797 2030 1.6 139 124 52.1 
O 519 1088 1928 1.9 134 130 37.5 
e 501 1597 2005 -1.3 157 154 38.4 
aI 522 1680 1973 7.0 154 147 25.5 
e 472 1931 2099 -3.2 150 148 31.2 
aI 528 1684 1988 8.4 143 138 38.8 
e 459 1742 1960 4.3 147 142 25.9 
uI 449 887 1947 -11.4 142 128 48.2 
aR 585 1493 1853 -0.2 148 136 31.3 
eU 539 1145 2026 -6.8 141 131 31.3 
a 755 1229 1997 -1.1 124 121 33.5 
I 409 1744 2059 14.5 118 115 38.4 
eR 500 1618 1814 2.1 121 107 38.6 
U 462 674 2161 -12.0 181 170 31.0 
aR 683 1451 1812 0.4 139 72 33.3 
a 627 1566 1781 -3.7 152 152 32.4 
i 434 1858 1910 -3.9 163 155 31.5 
O 556 998 1517 0.7 182 177 38.0 
e 489 1198 1638 --undefined-- 194 191 25.1 
aI 552 1513 1839 10.1 187 186 28.3 
I 395 1670 1915 -0.8 184 166 30.2 
U 446 818 2349 -2.3 210 203 30.2 
eh 579 1716 2011 16.8 147 143 41.1 
U 531 1098 1582 7.8 136 134 27.5 
eh 540 1585 1854 5.4 133 131 31.5 
A 648 1262 2000 -2.0 123 118 27.8 
A 521 1504 1702 0.2 127 117 35.4 
i 417 1696 2015 1.6 119 105 42.8 
eh 569 1551 1917 -1.0 125 119 30.4 
A 690 1448 1778 1.8 132 131 30.4 
A 623 1345 1564 -4.3 140 125 38.7 
O 460 1066 1737 -0.1 139 139 29.0 
E 426 1560 1785 -0.6 134 129 36.9 
oR 551 1216 1735 -5.3 144 144 37.7 
A 581 1344 1728 3.5 140 138 37.4 
eh 504 1762 1943 -7.6 118 113 44.0 
eh 472 1871 1937 2.8 105 96 46.2 
i 448 1686 2028 2.8 148 148 26.9 
A 545 1528 1846 -0.1 158 142 30.7 
A 573 1285 1645 3.1 151 149 38.7 
oI 424 1352 1836 -8.4 100 90 44.6 
aI 756 1649 1919 6.2 130 122 46.5 
O 565 1177 1544 6.5 151 136 34.4 
e 505 1576 1827 4.3 180 173 27.2 
aI 457 1138 1781 10.5 187 184 33.6 
e 542 1510 1659 -4.6 163 160 30.4 
aI 548 1555 1878 8.3 167 165 30.7 
E 396 1148 1879 -8.2 190 184 28.6 
e 503 1495 1760 9.6 160 149 41.2 
A 598 1235 1883 4.2 139 116 37.2 
A 543 1487 1753 1.4 106 95 30.9 
a 796 1274 1922 -0.1 132 116 26.5 
a 798 1520 1995 6.8 126 125 34.9 
i 406 1889 2164 3.8 135 126 33.9 
i 483 1680 1958 21.3 139 126 41.2 
i 310 1921 2170 -7.1 146 126 35.3 
U 499 1077 1962 -2.8 161 159 25.0 
eh 528 1513 1903 4.2 165 162 29.8 
U 544 1196 1938 4.1 161 161 29.3 
eh 577 1567 1751 5.5 168 166 24.4 
A 544 1358 1639 -5.0 167 154 30.8 
A 495 1424 1492 -4.2 159 153 34.4 
O 506 993 1899 4.3 154 140 35.0 
e 466 1459 1726 -2.4 147 135 29.5 
aI 590 1602 1854 3.9 147 141 37.2 
e 503 1648 2009 2.1 152 143 36.5 
A 638 1299 1849 3.7 146 143 35.4 
I 351 1879 2072 2.7 162 160 26.9 
O 519 864 1978 -2.1 168 164 24.7 
Ia 417 1845 2038 4.1 119 112 43.0 
e 463 1691 1953 8.0 146 144 33.3 
U 470 1265 1956 -2.8 163 149 34.7 
aU 719 1213 1941 0.5 137 133 39.7 
I 427 1805 2027 9.6 --undefined-- --undefined-- --undefined-- 
O 516 920 2080 -0.4 157 156 30.7 
Ia 387 1784 1892 2.3 110 103 42.9 
a 694 1570 1839 3.1 122 118 28.0 
i 515 1845 2073 2.7 128 126 26.1 
O 530 1062 1953 6.3 147 145 32.2 
O 536 1004 1684 1.6 132 131 39.1 
e 449 1600 1834 -1.8 158 139 32.2 
eh 563 1745 1865 2.2 137 133 33.0 
e 464 1625 1912 -3.2 142 138 29.8 
eh 575 1331 1744 -2.3 126 123 41.0 
A 668 1361 1859 2.0 125 116 30.8 
A 493 1450 1589 -1.7 141 140 34.0 
e 529 1361 1636 -2.8 126 123 31.7 
A 639 1281 1685 3.4 120 118 27.9 
U 519 1033 1678 3.7 127 124 30.0 
eh 528 1620 1862 5.5 123 122 38.5 
A 430 901 1626 11.0 127 124 35.3 
I 467 1983 2266 5.8 126 125 34.3 
O 479 877 1956 -3.2 131 129 38.7 
Ia 420 1728 1954 -2.9 198 194 27.6 
a 727 1428 1766 -2.1 118 111 55.4 
i 430 1975 2205 7.6 122 117 23.4 
a 494 1778 1805 -13.6 127 125 29.7 
i 437 1598 2063 11.7 135 132 25.7 
U 434 948 1838 -2.2 128 128 32.9 
a 720 1243 1768 1.6 126 126 33.4 
I 393 1274 1864 -2.9 124 124 29.3 
eR 516 1611 1846 -0.2 123 121 30.2 
U 417 1151 1636 -7.1 123 122 27.6 
uI 423 937 1974 1.3 118 98 39.7 
aR 619 1517 1871 2.7 113 105 26.7 
a 816 1298 1949 2.5 140 134 36.5 
i 399 1817 2133 6.9 131 125 49.3 
U 430 1156 1660 -4.9 150 139 23.9 
eU 551 1173 1882 -3.0 144 135 39.5 
a 714 1201 2038 3.3 137 134 35.2 
U 459 1547 1768 2.6 139 139 27.7 
I 431 1931 2056 7.6 131 128 47.5 
eI 382 1898 2138 -4.8 127 119 35.4 
U 397 774 2039 -9.1 183 176 29.6 
eh 500 1673 1920 0.4 122 120 47.5 
aI 525 1651 1928 -4.5 131 129 47.6 
e 459 1393 1921 -1.1 142 141 28.7 
u 404 635 2261 -8.3 124 109 37.3 
U 452 658 2156 -0.8 124 109 33.5 
E 441 1716 1803 26.0 137 125 27.8 
aU 560 957 2126 -8.0 127 116 33.3 
I 631 1509 1848 6.8 137 131 27.6 
aU 628 893 2002 -8.9 120 116 35.2 
U 462 748 2234 -4.9 104 102 41.0 
aU 660 964 2246 -2.0 120 112 36.0 
U 416 813 2065 -0.6 118 112 31.8 
ehU 592 1058 1749 -6.9 119 83 46.0 
aR 704 1344 1764 6.8 115 114 27.7 
aU 520 906 1884 0.5 126 118 34.3 
eh 515 1748 1998 2.2 108 102 49.7 
